NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
17Q12 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5287%HOMO SAPIENS	17Q12 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5287%HOMO SAPIENS	Details ...	52	-0.6821727	-2.4803004	0.0	0.0	0.0	3094	tags=62%, list=21%, signal=78%	
PHOSPHODIESTERASES IN NEURONAL FUNCTION%WIKIPATHWAYS_20250210%WP4222%HOMO SAPIENS	PHOSPHODIESTERASES IN NEURONAL FUNCTION%WIKIPATHWAYS_20250210%WP4222%HOMO SAPIENS	Details ...	25	-0.67831916	-2.055323	0.0	0.04947321	0.124	3703	tags=72%, list=25%, signal=96%	
CELLULAR COMPONENT ASSEMBLY INVOLVED IN MORPHOGENESIS%GOBP%GO:0010927	CELLULAR COMPONENT ASSEMBLY INVOLVED IN MORPHOGENESIS%GOBP%GO:0010927	Details ...	57	-0.53467447	-1.9968712	0.0	0.08160769	0.294	3263	tags=53%, list=22%, signal=67%	
REGULATION OF EXTRACELLULAR MATRIX ASSEMBLY%GOBP%GO:1901201	REGULATION OF EXTRACELLULAR MATRIX ASSEMBLY%GOBP%GO:1901201	Details ...	16	-0.7195452	-1.9809928	0.0	0.081145324	0.368	3379	tags=69%, list=23%, signal=89%	
CELLULAR ANATOMICAL ENTITY MORPHOGENESIS%GOBP%GO:0032989	CELLULAR ANATOMICAL ENTITY MORPHOGENESIS%GOBP%GO:0032989	Details ...	57	-0.53467447	-1.9782882	0.0	0.068476506	0.383	3263	tags=53%, list=22%, signal=67%	
MYOTUBE DIFFERENTIATION%GOBP%GO:0014902	MYOTUBE DIFFERENTIATION%GOBP%GO:0014902	Details ...	26	-0.6504795	-1.9758135	0.0	0.059803244	0.399	1290	tags=35%, list=9%, signal=38%	
MUSCLE CONTRACTION%GOBP%GO:0006936	MUSCLE CONTRACTION%GOBP%GO:0006936	Details ...	116	-0.46800038	-1.9538897	0.0	0.072780885	0.519	2858	tags=45%, list=19%, signal=55%	
STRIATED MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051146	STRIATED MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051146	Details ...	88	-0.47907406	-1.9268001	0.0	0.097267285	0.665	3045	tags=45%, list=21%, signal=57%	
STRIATED MUSCLE CELL DEVELOPMENT%GOBP%GO:0055002	STRIATED MUSCLE CELL DEVELOPMENT%GOBP%GO:0055002	Details ...	60	-0.5204641	-1.9136127	0.0	0.10150457	0.724	3263	tags=52%, list=22%, signal=66%	
MUSCLE SYSTEM PROCESS%GOBP%GO:0003012	MUSCLE SYSTEM PROCESS%GOBP%GO:0003012	Details ...	137	-0.4449282	-1.9074718	0.0	0.100419365	0.757	2858	tags=42%, list=19%, signal=52%	
MUSCLE CELL DEVELOPMENT%GOBP%GO:0055001	MUSCLE CELL DEVELOPMENT%GOBP%GO:0055001	Details ...	73	-0.4802381	-1.8699863	0.0	0.14293036	0.884	3263	tags=44%, list=22%, signal=56%	
REGULATION OF HEART GROWTH%GOBP%GO:0060420	REGULATION OF HEART GROWTH%GOBP%GO:0060420	Details ...	25	-0.61837554	-1.8698914	0.004842615	0.13119552	0.885	3109	tags=48%, list=21%, signal=61%	
DISRUPTION OF POSTSYNAPTIC SIGNALING BY CNV%WIKIPATHWAYS_20250210%WP4875%HOMO SAPIENS	DISRUPTION OF POSTSYNAPTIC SIGNALING BY CNV%WIKIPATHWAYS_20250210%WP4875%HOMO SAPIENS	Details ...	22	-0.6275659	-1.8681163	0.0025252525	0.12377831	0.894	531	tags=23%, list=4%, signal=24%	
LONG-CHAIN FATTY-ACYL-COA METABOLIC PROCESS%GOBP%GO:0035336	LONG-CHAIN FATTY-ACYL-COA METABOLIC PROCESS%GOBP%GO:0035336	Details ...	20	-0.6431262	-1.8629863	0.0	0.123292565	0.909	1116	tags=30%, list=8%, signal=32%	
MUSCLE CELL DIFFERENTIATION%GOBP%GO:0042692	MUSCLE CELL DIFFERENTIATION%GOBP%GO:0042692	Details ...	117	-0.44798157	-1.8552341	0.0	0.12663586	0.934	3045	tags=38%, list=21%, signal=48%	
REGULATION OF SKELETAL MUSCLE CELL DIFFERENTIATION%GOBP%GO:2001014	REGULATION OF SKELETAL MUSCLE CELL DIFFERENTIATION%GOBP%GO:2001014	Details ...	15	-0.6877972	-1.8527123	0.002386635	0.12179319	0.939	1727	tags=40%, list=12%, signal=45%	
ADULT BEHAVIOR%GOBP%GO:0030534	ADULT BEHAVIOR%GOBP%GO:0030534	Details ...	22	-0.61801875	-1.8458747	0.0	0.12436461	0.951	2769	tags=45%, list=19%, signal=56%	
POSITIVE REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC%GOBP%GO:0051968	POSITIVE REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC%GOBP%GO:0051968	Details ...	18	-0.6606548	-1.8435253	0.0023255814	0.12114985	0.952	1082	tags=33%, list=7%, signal=36%	
MYOFIBRIL ASSEMBLY%GOBP%GO:0030239	MYOFIBRIL ASSEMBLY%GOBP%GO:0030239	Details ...	36	-0.56236684	-1.8281401	0.0	0.13799125	0.967	3263	tags=64%, list=22%, signal=82%	
REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:1903053	REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:1903053	Details ...	50	-0.5035444	-1.8240737	0.0	0.1370108	0.972	3439	tags=46%, list=23%, signal=60%	
POSITIVE REGULATION OF OSTEOBLAST DIFFERENTIATION%GOBP%GO:0045669	POSITIVE REGULATION OF OSTEOBLAST DIFFERENTIATION%GOBP%GO:0045669		44	-0.5231102	-1.8077525	0.0025510204	0.15687412	0.984	1931	tags=30%, list=13%, signal=34%	
ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001935	ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001935		17	-0.6460833	-1.7996619	0.00456621	0.16307761	0.99	1972	tags=41%, list=13%, signal=47%	
FATTY-ACYL-COA METABOLIC PROCESS%GOBP%GO:0035337	FATTY-ACYL-COA METABOLIC PROCESS%GOBP%GO:0035337		33	-0.5548914	-1.7945384	0.0	0.16529658	0.994	1486	tags=30%, list=10%, signal=34%	
PROTEIN LOCALIZATION TO CILIUM%GOBP%GO:0061512	PROTEIN LOCALIZATION TO CILIUM%GOBP%GO:0061512		45	-0.51206285	-1.789996	0.0	0.1660415	0.996	2803	tags=36%, list=19%, signal=44%	
NITRIC OXIDE STIMULATES GUANYLATE CYCLASE%REACTOME DATABASE ID RELEASE 91%392154	NITRIC OXIDE STIMULATES GUANYLATE CYCLASE%REACTOME DATABASE ID RELEASE 91%392154		17	-0.63687015	-1.7845237	0.004705882	0.16830343	0.998	2925	tags=41%, list=20%, signal=51%	
REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC%GOBP%GO:0051966	REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC%GOBP%GO:0051966		39	-0.53791326	-1.7825824	0.0	0.16478199	0.998	1312	tags=26%, list=9%, signal=28%	
